Audit Reference Number,VAR-20241007-TW-05A01-1
Data points,"* Site observation: a) Workers can demonstrate where personal records are kept securely. b) Workers maintain possession or
control over their identification record.
* Record review: 20 out of 20 personnel files demonstrate: a) No originals of workers' personal documentation are kept. b) No
foreign migrant workers and no internal migrant workers.
* Record review: 20 out of 20 personal documents show: a) Original documents are not to be tampered with or damaged in any
way.
* Record review: No foreign migrant workers and no internal migrant workers in the facility.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers (no foreign migrant workers and no internal migrant workers) confirm the audit
observations.
* Supporting evidence reference(s): N/A"
,
A2) YOUNG WORKERS,
Question #,VAP-A2.1
Question Text,Workers are not below the minimum age
Rating,Conformance
Conclusion,Workers are not below the minimum age. The youngest worker is 23 years old.
Data points,"* Site observation: No identification of workers on-site under minimum age.
* Record review: 20 out of 20 personnel files reveal: a) All workers are above the minimum age and above the company policy
minimum age. The youngest worker is 23 years old.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-A2.2
Question Text,"Workers under the age of 18 are not allowed to perform work that is likely to jeopardize the health or safety of these young
workers, including night work or overtime."
Rating,Not Applicable
Conclusion,
Data points,
,
Question #,VAP-A2.3
Question Text,Apprentice/Intern/Student Worker employment conforms with learning objectives.
Rating,Not Applicable
Conclusion,
Data points,
,
A3) WORKING HOURS,
Question #,VAP-A3.1
Question Text,Hours worked in a workweek does not exceed 60 hours.
Rating,Conformance
Conclusion,"Hours worked in a workweek over the last 12 months does not exceed 60 hours and monthly overtime hours do not exceed local
law of 46 hours/month. The months of November 2023 (random month, no peak or low month in the facility), March 2024
(random month) and May 2024 (random month) are reviewed. The highest weekly working hours are 50 h/workweek. All
workers meet local law regarding maximum 46 hours monthly overtime. a) The same working hour trend is found by production
area, by nationality and job function. b) No young workers in the facility."
Data points,"* Record review: 20 out of 20 working hour records covering each month of the period of November 2023 (random month, no
peak or low month in the facility), March 2024 (random month) and May 2024 (random month) demonstrate hours worked in a
workweek over the last 12 months do not exceed 60 hours and monthly overtime hours do not exceed local law of 46 hours/
month. The highest weekly working hours 50 h/workweek. a) The same working hour trend is found by production area, by
nationality and job function. b) No young workers in the facility.
* Record review: 12 out of 12 production records covering the period November 2023 (random month, no peak or low month in
the facility), March 2024 (random month) and May 2024 (random month) confirm time recording device works accurately and
are preventatively maintained.
* Record review: No working hour waiver is available.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): Working Hours Collection Sheet"
,
Question #,VAP-A3.2
Question Text,Workers receive at least one (1) day off every seven (7) days
Rating,Conformance
Conclusion,"Workers receive at least one day off every seven days. The months of November 2023 (random month, no peak or low month in
the facility), March 2024 (random month) and May 2024 (random month) are reviewed. The longest consecutive working days
are 5 days worked. The same consecutive days worked trend is found by production area, by nationality and job function. No
young workers in the facility."
Data points,"* Record review: 20 out of 20 working hour records covering each month of the period of November 2023 (random month),
March 2024 (random month) and May 2024 (random month) demonstrate Workers receive at least one day off every seven days.
The longest consecutive working days are 5 days worked. The same consecutive days worked trend is found by production area,
by nationality and job function. No young workers in the facility.
* Record review: 12 out of 12 production records covering the period of November 2023 (random month, no peak or low month
in the facility), March 2024 (random month) and May 2024 (random month) confirm time recording device work accurately and
are preventatively maintained.
* Record review: 10 out of 10 leave records covering the period November 2023 (random month, no peak or low month in the
facility), March 2024 (random month) and May 2024 (random month) confirm data found in A3.1 and A3.2.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): Working Hours Collection Sheet"
,
Question #,VAP-A3.3
Question Text,"Workers are allowed mandated breaks, holidays and vacation days, including time off when ill or for maternity leave"
Rating,Conformance
Conclusion,"Workers are allowed mandated breaks, holidays and vacation days, including time off when ill or for paternity/maternity leave."
Data points,"* Site observation: Workers take mandatory breaks, which include at least one meal break per shift.
* Record review: 10 out of 10 leave records covering the period October 2023 to September 2024 demonstrate: a) Actual leaves
and holidays are recorded, securely kept and are accurate. b) Leave records are consistent with the medical certificates.
* Record review: 10 out of 10 medical certificates covering the period October 2023 to September 2024 demonstrate consistency
with the leave records for this period.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
A4) WAGES AND BENEFITS,
Question #,VAP-A4.1
Question Text,"Wages for regular and overtime hours are meeting ""equal pay for equal work and qualification"", correctly calculated, and paid
timely to all workers."
Rating,Conformance
Conclusion,"Wages for regular and overtime hours are meeting “equal pay for equal work and qualification”, correctly calculated, and paid
timely to all workers."
Data points,"* Record review: 20 out of 20 payroll records covering each month of the period October 2023 to September 2024 demonstrate:
a) “equal pay for equal work and qualification” applies. b) “Pay equals time worked” applies; this means any company-required
activity. c) All workers have paid no less than the agreed* wage for all regular hours. d) Overtime and other compensation and
benefits are paid and are on top of the agreed wage for regular hours. e) Payment made to leavers (resigned workers) is in
compliance and not later than one month after the final day on the job Is acceptable as per local law. f) Wages, benefits, and
overtime are correctly calculated and accurate pay records are maintained. g) Wages are paid directly to workers with no
unauthorized deductions (including for disciplinary measures) in a timely manner. h) Recurring pay (including overtime and
other) is not delayed more than two days after the agreed timing for payment. i) maternity or sick leave absences do not incur a
financial penalty. j) Wage records are accurate. k) No deductions or payment for PPE. l) No learners are present.
* Record review: 20 out of 20 personnel records demonstrate wages and compensation reflect “equal pay for equal work and
qualification”.
* Record review: 20 out of 20 working hour records covering each month of the period October 2023 to September 2024
demonstrate wages, benefits, and overtime are correctly calculated.
* Record review: 10 out of 10 leave records covering the period October 2023 to September 2024 confirm payments are correctly
calculated.
* Record review: 10 out of 10 grievance records covering the period October 2023 to September 2024 confirm payments are
correctly calculated.
* Record review: 20 out of 20 payroll slips covering each month of the period October 2023 to September 2024 demonstrate:
Payroll Evidence confirms all worker payments are correctly calculated.
* Record review: 12 out of 12 payroll payment records covering the period October 2023 to September 2024 confirm a) all
worker payments are correctly calculated. b) All workers are paid directly without any intermediary (except a bank). c) All
resigned workers are paid timely.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-A4.2
Question Text,"For each pay period, workers are provided with understandable wage statements that include sufficient information to verify
accurately work performed."
Rating,Conformance
Conclusion,"For each pay period, workers are provided with understandable wage statements that include sufficient information to verify
accurately work performed."
Data points,"* Record review: 20 out of 20 payroll slips covering each month of the period October 2023 to September 2024 demonstrate: a)
Workers are provided with payroll slips that clearly indicate compensation (before payment), including: a.a) Regular hours. a.b)
Overtime hours. a.c) Overtime compensation levels. a.d) No disciplinary deductions. a.e) Details of the deductions. a.e.a)
Insurance contributions. a.e.b) Employer. a.e.c) Worker contributions. b) Pay slip records are accurate.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-A4.3
Question Text,"Deductions or withholdings are calculated correctly and submitted to the appropriate government agency within the local law
time frame."
Rating,Conformance
Conclusion,"Deductions or withholdings are calculated correctly and submitted to the appropriate government agency within the local law
time frame."
Data points,"* Record review: 20 out of 20 payroll records covering each month of the period October 2023 to September 2024 demonstrate:
a) Calculations: employer contributions to worker insurance schemes (retirement/pension, health/medical) are available on a
monthly basis that: b) Allows for analysis by individual worker. c) Total per contribution type.
* Record review: 12 out of 12 contribution payment records covering the period October 2023 to September 2024 demonstrate
payment records for these contributions are available and payments are made timely.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
A5) NON-DISCRIMINATION / NON-HARASSMENT / HUMANE TREATMENT,
Question #,VAP-A5.1
Question Text,"No evidence of discrimination, harassment, inhumane treatment, or threat of these exists."
Rating,Conformance
Conclusion,"No evidence of discrimination, harassment, inhumane treatment, or threat of these exists."
Data points,"* Site observation: No identification of possible instances of discrimination, harassment/inhumane treatment, or threat of.
* Record review: 10 out of 10 grievance records covering the period October 2023 to September 2024 demonstrate no
identification of possible instances of inhumane measures.
* Record review: 20 out of 20 payroll records covering each month of the period October 2023 to September 2024 confirm a) No
evidence of discrimination, harassment/inhumane treatment in: a.a) Compensation. a.b) Benefits. b) No evidence of
discrimination for worker representation.
* Record review: 20 out of 20 training records covering the period October 2023 to September 2024 confirm: a) No evidence of
discrimination, harassment/inhumane treatment. b) No evidence of discrimination, harassment/inhumane treatment in accessing
training. c) No evidence of discrimination, harassment/inhumane treatment for worker representation.
* Record review: 5 out of 5 disciplinary records covering the period October 2023 to September 2024 confirm: a) No evidence of
discrimination, harassment/inhumane treatment. b) No evidence of discrimination, harassment/inhumane treatment for worker
representation.
* Record review: 5 out of 5 application records covering the period October 2023 to September 2024 confirm: a) No evidence of
discrimination, harassment/inhumane treatment. b) No evidence of discrimination, harassment/inhumane treatment for worker
representation.
* Record review: 5 out of 5 testing records covering the period October 2023 to September 2024 confirm: a) No evidence of
discrimination, harassment/inhumane treatment. b) No evidence of discrimination, harassment/inhumane treatment for worker
representation.
* Record review: 5 out of 5 promotion records covering the period October 2023 to September 2024 confirm: a) No evidence of
discrimination, harassment/inhumane treatment. b) No evidence of discrimination, harassment/inhumane treatment for worker
representation.
* Record review: 5 out of 5 job postings covering the period October 2023 to September 2024 confirm: a) No evidence of
discrimination, harassment/inhumane treatment. b) No evidence of discrimination, harassment/inhumane treatment for worker
representation.
* Record review: 5 out of 5 job descriptions covering the period October 2023 to September 2024 confirm: a) No evidence of
discrimination, harassment/inhumane treatment. b) No evidence of discrimination, harassment/inhumane treatment for worker
representation.
* Record review: 5 out of 5 medical records covering the period October 2023 to September 2024 confirm: a) No evidence of
discrimination, harassment/inhumane treatment. a.a) Workers or potential workers are not subjected to medical tests that could be
used in a discriminatory way. a.b) Health tests, pregnancy or virginity testing, or contraception are not used as a condition of
employment. a.c) All conditions regarding virginity, pregnancy and post-natal employment protections, benefits, and pay are met.
* Record review: 20 out of 20 personnel records confirm accommodations provided to workers is solely based on non-
discriminatory criteria.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-A5.2
Question Text,Disciplinary actions are recorded and reviewed by management.
Rating,Conformance
Conclusion,Disciplinary actions are recorded and reviewed by management.
Data points,"* Record review: 5 out of 5 disciplinary records covering the period October 2023 to September 2024 demonstrate: a) Records of
all cases of disciplinary action are available b) All records of disciplinary action against workers are reviewed by management
and verifiably communicated to them c) Disciplinary records show disciplinary actions with signature of worker.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-A5.3
Question Text,Reasonable accommodation for religious practices is provided.
Rating,Conformance
Conclusion,Reasonable accommodation for religious practices is provided.
Data points,"* Site observation: Adequate religious areas are provided.
* Record review: 4 out of 4 religious accommodation requests covering the period October 2023 to September 2024 demonstrate:
a) Requests are kept. b) Requests are reviewed. c) Request decisions are available. c.a) Reason for the decision of
accommodation is provided.
* Record review: 4 out of 4 religious accommodation decision communications covering the period October 2023 to September
2024 demonstrate communication on requests reason for the decision of accommodation is provided to the requestor in a timely
manner.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-A5.4
Question Text,Reasonable accommodation for disability is provided.
Rating,Conformance
Conclusion,Reasonable accommodation for disability is provided.
Data points,"* Site observation: Adequate accommodation for disability are provided.
* Record review: 2 out of 2 accommodations for disability requests covering the period October 2023 to September 2024
demonstrate: a) Requests are kept. b) Requests are reviewed. c) Request decisions are available. c.a) Reason for the decision of
accommodation is provided.
* Record review: 2 out of 2 accommodations for disability decision communications covering the period October 2023 to
September 2024 demonstrate communication on requests reason for the decision of accommodation is provided to the requestor
in a timely manner.
* Record review: 2 out of 2 disability accommodation records for all identified disabilities covering the period October 2023 to
September 2024: a) Are kept. b) Are up-to-date. c) Are accurate.
* Record review: 2 out of 2 disability assessment reports for all identified disabilities covering the period October 2023 to
September 2024: a) Are kept. b) Are up-to-date. c) Are accurate.
* Record review: 2 out of 2 disability effectiveness evaluations for all identified disabilities covering the period October 2023 to
September 2024: a) Are kept. b) Are up-to-date. c) Are accurate.
* Record review: 2 out of 2 corrective action plans for all identified disabilities for any disability accommodation deemed
ineffective for all identified disabilities covering the period October 2023 to September 2024: a) Are kept. b) Are up-to-date. c)
Are accurate.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
A6) FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING,
Question #,VAP-A6.1
Question Text,Workers can form or enroll in a trade union of their own free will.
Rating,Conformance
Conclusion,Workers can form or enroll in a trade union of their own free will.
Data points,"* Site observation: a) No evident presence of violence and explicit threats of any kind. b) No evident presence of management’s
control of worker representation exists. c) No evident presence of a prohibition of association with a worker representation.
* Record review: 10 out of 10 grievance records covering the period October 2023 to September 2024 demonstrate: a) There are
no recorded episodes of violence, explicit threats of any kind or any other violations of the right to freedom of association. b)
Grievance records on Freedom of Association are acted upon if the grievance is valid.
* Record review: No external media records are available because there are no episodes of violence, explicit threats of any kind
or any other violations of the right to freedom of association at the auditee.
* Record review: 4 out of 4 worker representative body meeting minutes covering the period October 2023 to September 2024
demonstrate: a) the source of funding and materials. a.a) Management contributions are limited to providing meeting space and
meeting materials.
* Record review: 20 out of 20 payroll records covering each month of the period October 2023 to September 2024 confirm no
difference in payment for worker representatives with other workers in similar job functions.
* Record review: 20 out of 20 communication records covering the period October 2023 to September 2024 do not show
Freedom of association restrictions and Freedom of Association communications are not prohibited.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers (including 1 worker representative) confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-A6.2
Question Text,"The legal rights of all workers to bargain collectively, or refrain from doing so, are respected."
Rating,Conformance
Conclusion,"Legal rights of all workers to bargain collectively, or refrain from doing so, are respected."
Data points,"* Site observation: No evidence of refusal by management to enter negotiations upon request by the worker representatives.
* Record review: 10 out of 10 grievance records covering the period October 2023 to September 2024 demonstrate: a) No
evidence of refusal by management to enter negotiations upon request by the worker representatives. b) Site participates in good
faith in the collective bargaining process with the official worker representatives.
* Record review: 4 out of 4 worker representative body meeting minutes covering the period October 2023 to September 2024
demonstrate: a) No evidence of refusal by management to enter negotiations upon request by the worker representatives. b) There
is no Collective Bargaining Process in this facility. c) No Collective Bargaining Agreement. d) Dialogue with worker
representatives is held if there is a difference between any accommodation granted.
* Record review: No CBA is available.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers (including 1 worker representative) confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-A6.3
Question Text,Participants respect the legal right of all workers to peacefully assemble.
Rating,Conformance
Conclusion,Participants respect the legal right of all workers to peacefully assemble.
Data points,"* Site observation: No signs of explicit prohibition of the right of peaceful assembly.
* Record review: 10 out of 10 grievance records covering the period October 2023 to September 2024 demonstrate a) Respect for
the right of workers to individually or collectively; to express, promote, pursue, and defend their concerns or ideas. b) Does not
interfere with, restrain, or coerce workers in the exercise of their right to individually or collectively; to express, promote, pursue,
and defend their concerns or ideas.
* Record review: 4 out of 4 worker representative body meeting minutes covering the period October 2023 to September 2024
demonstrate: a) Respect for the right of workers to individually or collectively; to express, promote, pursue, and defend their
concerns or ideas. b) Does not interfere with, restrain, or coerce workers in the exercise of their right to individually or
collectively; to express, promote, pursue, and defend their concerns or ideas.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers (including 1 worker representative) confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
A.M.1) RISK ASSESSMENT,
Question #,VAP-A.M.1.1
Question Text,"An adequate and effective labor compliance process is established to monitor, identify, understand, and ensure compliance with
applicable laws, regulations, and customer requirements."
Rating,Conformance
Conclusion,"An adequate and effective labor compliance process is established to monitor, identify, understand, and ensure compliance with
applicable laws, regulations, and customer requirements."
Data points,"* Record review: Laws and Regulation Requirement Management Procedure (Document No.: B0000-3401, Rev. C, Issued date:
10 September 2018) states: a) compliance procedure. a.a) Adequate. a.b) Effective. a.c) Quarterly review. a.d) Including
applicable legal requirements. a.e) Including applicable customer requirements to a.f.a) Identify. a.f.b) Assess. a.f.c) Integrate.
a.f.d) Implement. a.f.e) Records. b) To ensure timely renewal for the expiration of: b.a) Permits. b.b) Licenses. b.c) Testing
reports.
* Record review: Labor compliance calendar (Doc. No: NA, Rev. NA, Issue date: 30 August 2024) confirms the compliance
calendar: a) Is accurate. b) Is up to date. c) Includes applicable legal requirements. d) Includes applicable customer requirements.
e) Has a reminder system.
* Record review: Labor compliance register (Doc. No: NA, Rev. NA, Issue date: 23 February 2024) confirms the compliance
register: a) Is accurate. b) Is up to date. c) Has summaries of applicable laws and regulations. d) Contains reviews of the key
customer requirements that impact the operations as these related to the RBA code.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-A.M.1.2
Question Text,"An adequate and effective due diligence process is established to identify and assess the most significant actual and potential
labor risks where the facility caused or contributed to adverse labor impacts (including applicable requirements)."
Rating,Conformance
Conclusion,"An adequate and effective due diligence process is established to identify and assess the most significant actual and potential
labor risks where the facility caused or contributed to adverse labor impacts (including applicable requirements)."
Data points,"* Record review: Stakeholder identification procedure (Document No: Nil, Rev. Nil, Issue date: 4 January 2024) states the
process which is a) Adequate. b) Effective for c) internal stakeholders. d) external stakeholders for labor.
* Record review: Internal and external stakeholder list for labor (Doc. No: NA, Rev. NA, Issue date: 4 January 2024) which
includes all identified internal and external stakeholders including at a minimum: a) Direct and indirect workers. b) No young
workers in the facility. c) No foreign migrant workers. No internal migrant workers. d) Worker representatives. e) Staff functions.
f) On-site service providers. g) Suppliers. h) Customers. i) Stakeholders immediately neighboring the auditee.
* Record review: Labor and Ethics Risk Assessment Procedure (Document No.: B9930-1306, Rev. A, issued date: 09 September
2020) states: a) risk assessment procedure that a.a) Uses the hierarchy of controls or equivalent. a.b) identifies the most
significant actual and potential labor risks where the facility caused or contributed to adverse labor impacts. a.b.a) including
applicable legal requirements. a.b.b) including applicable customer requirements. a.c) Is updated when there is a Significant
Change. a.d) Has a scope that includes: a.d.a) Every site operation/process. a.d.b) All physical locations. a.d.c) All identified
internal and external stakeholders. a.d.c a) Direct and indirect workers. a.d.c b) No young workers in the facility. a.d.c c) No
foreign migrant workers. No internal migrant worker. a.d.c d) Worker representatives. a.d.c e) Staff functions. a.d.c f) On-site
service providers. a.d.c g) Suppliers. a.d.c h) Customers. a.d.c i) Stakeholders immediately neighboring the auditee.
* Record review: 2 out of 2 labor risk assessments covering each month of the period October 2023 to September 2024 a) include
legal and customer requirements. b) assess legal and customer requirements. c) identify how legal and customer requirements are
integrated in the current management system. d) document how legal and customer requirements are implemented.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
A.M.2) CONTROL PROCESSES,
Question #,VAP-A.M.2.1
Question Text,"Labor responsibilities and authorities are adequately and effectively defined and assigned for all employee levels (senior
managers to workers) for the implementation of management systems, and for compliance with laws, regulations, and codes."
Rating,Conformance
Conclusion,"Labor responsibilities and authorities are adequately and effectively defined and assigned for all employee levels (senior
managers to workers) for the implementation of management systems, and for compliance with laws, regulations, and codes."
Data points,"* Record review: RBA Code of Conduct Management Procedure (Document No.: B0000-4200, Rev. L, Issued date: 28 June
2024) confirms a senior representative is assigned responsibility: a) To ensure compliance with laws and regulations. b) To
ensure compliance with the requirements of the RBA. c) Is authorized to implement: c.a) Programs. c.b) Process actions. c.c)
Corrective actions as needed.
* Record review: Organizational chart and description (Doc. No: NA, Rev. NA, Issue date: 28 June 2024) confirms: a)
Responsibilities of each organizational level are recorded. b) Authorities of each organizational level are recorded. c) For regular
and emergency situations.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
